"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"East Asia & Pacific (developing only)","EAP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.7459051681004","","","","","","","","","","90.7692338513025","","","","","","","","","","94.5422568651087","","","","","",
"East Asia & Pacific (all income levels)","EAS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.0523235540739","","","","","","","","","","91.6147059822474","","","","","","","","","","94.9228398935989","","","","","",
"Europe & Central Asia (developing only)","ECA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.0262428418421","","","","","","","","","","95.7487302332066","","","","","","","","","","98.1868164358978","","","","","",
"Europe & Central Asia (all income levels)","ECS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.2740617685218","","","","","","","","","","98.1414673074265","","","","","","","","","","98.9870316495464","","","","","",
"Ecuador","ECU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","83.55269","","","","","","","","88.29876","","","","","","","","","","","90.9840240478516","","","","","","84.1927261352539","","84.2069625854492","91.8540420532227","91.5868988037109","92.0647354125977","93.2946243286133","","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","38.19677","","","","","","","","","","44.42399","","","","","","","","","","55.587","","","","","","","","","71.4088668823242","66.3699035644531","","","","72.0478515625","","73.8655853271484","75.0607299804688","","",
"Euro area","EMU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4661551451846","","","","","","","","","","98.8847016208209","","","","","",
"Eritrea","ERI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5139503479004","","","","","","","","","","","71.5980987548828","","",
"Spain","ESP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","92.80977","","","","","","","","","","96.49497","","","","","","","","","","","","","97.1651153564453","97.7506942749023","","97.9388427734375","97.6306076049805","97.6792678833008","97.748893737793","97.7837524414063","97.8945388793945","98.0791244506836","","",
"Estonia","EST","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.72644","","","","","","","","","","","99.7671966552734","","","","","","","","","","","99.8627777099609","","","","",
"Ethiopia","ETH","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.01135","","","","","","","","","","35.9000015258789","29.8203372955322","","38.9959831237793","","","","","","","","",
"European Union","EUU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7539580715744","","","","","","","","","","99.1135732925232","","","","","",
