GGXWDN_NGDP	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Ireland	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.345	20.959	22.524	21.788	19.335	17.536	14.318	14.201	22.467	36.583	66.630	77.586	86.666	89.754	88.176	82.377	78.730	76.428	73.113	70.556	68.253
Israel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.000	72.800	80.100	82.900	82.900	79.600	71.800	65.800	65.000	66.700	64.500	64.000	63.000	62.700	63.400	63.713	63.888	64.594	65.588	66.483	67.376
Italy	NA	NA	NA	NA	NA	NA	NA	NA	83.969	86.265	89.158	92.075	98.665	108.369	113.952	95.359	104.509	99.813	97.560	93.939	90.178	89.509	86.556	85.512	85.190	85.963	86.348	84.103	86.195	94.176	96.317	98.390	102.932	109.579	112.612	113.479	112.772	111.232	109.405	107.218	104.823
Jamaica																																									
Japan	16.830	20.041	22.464	25.331	26.429	25.706	24.762	20.597	17.390	14.200	13.242	11.501	13.631	16.875	18.826	22.871	28.147	34.063	44.711	52.360	58.846	65.510	74.497	77.559	82.406	82.154	81.028	80.488	95.281	106.193	113.055	127.178	129.030	122.902	126.066	125.989	128.112	129.191	130.813	131.309	132.070
Jordan	NA	NA	NA	NA	NA	NA	NA	NA	171.978	203.789	212.972	191.973	143.474	129.724	116.795	107.636	103.060	95.168	104.364	101.321	88.244	92.623	96.190	99.626	84.353	81.997	76.337	70.842	65.444	67.772	71.436	82.710	86.940	80.065	80.809	81.733	80.350	77.375	74.083	70.650	67.705
Kazakhstan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.852	3.580	0.028	-6.129	-10.855	-13.792	-13.913	-11.044	-10.249	-13.015	-16.292	-17.966	-19.794	-28.386	-25.493	-23.075	-21.395	-20.049	-19.067
Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.633	50.353	49.836	52.500	58.442	56.302	49.660	43.792	39.906	34.423	37.132	36.864	40.223	39.063	37.951	40.296	48.889	53.461	53.839	53.330	51.859	50.061	48.906
Kiribati																																									
Korea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.849	17.703	20.647	22.985	25.970	28.174	27.385	27.329	30.479	30.340	31.147	31.068	33.907	35.386	37.682	38.748	39.678	40.208	40.182	39.795
Kosovo																																									
Kuwait																																									
Kyrgyz Republic																																									
Lao P.D.R.																																									
Latvia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.098	10.198	10.574	11.468	10.482	9.267	7.016	4.453	11.043	21.287	28.412	30.041	29.375	32.184	34.861	34.912	34.270	34.008	32.554	31.059	29.588
Lebanon	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	143.228	158.993	155.657	166.280	165.666	172.406	180.199	165.183	151.166	132.121	129.024	128.276	123.485	124.189	124.995	124.986	127.237	130.884	134.253	135.997	137.840
